"CountryCode","SeriesCode","DESCRIPTION",
"ARM","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ARM","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders.",
"ARM","IT.NET.USER.ZS","Ministry of Transport and Communications.",
"ARM","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ARM","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","IT.NET.BBND.P2","Ministry of Transport and Communications.",
"ARM","IS.RRS.PASG.KM","Source: OECD",
"ASM","SP.DYN.CDRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ASM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ASM","IT.CEL.SETS.P2","American Samoa Telecommunications Authority.",
"ASM","IT.CEL.SETS","American Samoa Telecommunications Authority.",
"ASM","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ASM","IT.MLT.MAIN.P2","American Samoa Telecommunications Authority.",
"ASM","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders.",
"ASM","ST.INT.TVLX.CD","Compiled from data reported by the country.",
"ASM","IT.NET.USER.ZS","American Samoa Telecommunications Authority.",
"ASM","IT.NET.BBND","American Samoa Telecommunications Authority.",
"ASM","SP.DYN.CBRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ASM","ST.INT.TVLR.CD","Compiled from data reported by the country. Source: South Pacific Tourism Organisation - Regional Tourism Resource Centre.",
"ASM","IT.MLT.MAIN","American Samoa Telecommunications Authority.",
"ASM","SM.POP.TOTL","Estimates are derived from data on foreign-born population. The estimates for American Samoa reflect, to the extent possible, all persons born outside its territory.",
"ASM","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ASM","IT.NET.BBND.P2","American Samoa Telecommunications Authority.",
"ATG","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","SP.DYN.CDRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ATG","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ATG","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
